name,idx,base_start,mult,d1,d2,pstart,pend,nlayovers,dtime,shour,mlegs,charter
100BUR01,64192,BUR,1,2025-02-01,2025-02-01,1738418400.0,1738445700.0,0,27300,6,4,False
654LAS01,64193,LAS,1,2025-02-01,2025-02-01,1738426800.0,1738444800.0,0,18000,8,2,False
116BUR01,64194,BUR,1,2025-02-01,2025-02-01,1738448100.0,1738464000.0,0,15900,14,2,False
406SCF01,64195,SCF,1,2025-02-01,2025-02-01,1738435800.0,1738466700.0,0,30900,11,4,False
206DAL01,64196,DAL,1,2025-02-01,2025-02-01,1738431300.0,1738461000.0,0,29700,11,2,False
280DAL01,64198,DAL,1,2025-02-01,2025-02-01,1738415700.0,1738444500.0,0,28800,7,4,False
300LAS01,64199,LAS,1,2025-02-01,2025-02-01,1738422000.0,1738453500.0,0,31500,7,4,False
106BUR01,64200,BUR,1,2025-02-01,2025-02-01,1738435500.0,1738462200.0,0,26700,10,4,False
400SCF01,64201,SCF,1,2025-02-01,2025-02-01,1738420200.0,1738451100.0,0,30900,7,4,False
624LAS01,64202,LAS,1,2025-02-01,2025-02-01,1738431900.0,1738465200.0,0,33300,9,4,False
302LAS01,64203,LAS,1,2025-02-01,2025-02-01,1738433700.0,1738463400.0,0,29700,10,4,False
490SCF01,64204,SCF,1,2025-02-01,2025-02-01,1738431900.0,1738450200.0,0,18300,10,2,False
171OAK01,64205,OAK,1,2025-02-01,2025-02-01,1738419300.0,1738452300.0,0,33000,6,4,False
760BUR01,64206,BUR,1,2025-02-01,2025-02-01,1738441200.0,1738461900.0,0,20700,12,2,False
722SNA01,64207,SNA,1,2025-02-01,2025-02-01,1738435800.0,1738467900.0,0,32100,10,2,False
470SCF01,64208,SCF,1,2025-02-01,2025-02-01,1738421400.0,1738459500.0,0,38100,7,4,False
170BUR01,64209,BUR,1,2025-02-01,2025-02-01,1738432800.0,1738449000.0,0,16200,10,2,False
202DAL01,64211,DAL,2,2025-02-01,2025-02-02,1738426200.0,1738556400.0,1,30600,10,3,False
762BUR02,64212,BUR,1,2025-02-02,2025-02-02,1738509600.0,1738545900.0,0,36300,7,4,False
775BUR02,64213,BUR,1,2025-02-02,2025-02-02,1738512900.0,1738548300.0,0,35400,8,4,False
170BUR02,64214,BUR,1,2025-02-02,2025-02-02,1738505700.0,1738536000.0,0,30300,6,4,False
171OAK02,64215,OAK,1,2025-02-02,2025-02-02,1738522500.0,1738538700.0,0,16200,10,2,False
108BUR02,64216,BUR,1,2025-02-02,2025-02-02,1738533300.0,1738561500.0,0,28200,13,4,False
109LAS02,64217,LAS,1,2025-02-02,2025-02-02,1738535100.0,1738563300.0,0,28200,14,4,False
320LAS02,64218,LAS,2,2025-02-02,2025-02-03,1738517400.0,1738632900.0,1,34200,9,3,False
620LAS02,64219,LAS,1,2025-02-02,2025-02-02,1738514700.0,1738550400.0,0,35700,8,4,False
