name,idx,base_start,mult,d1,d2,pstart,pend,nlayovers,dtime,shour,mlegs,charter
C3,65799,OAK,6,2025-03-03,2025-03-08,1741008600.0,1741473600.0,5,28800,5,3,True
C4,65802,DAL,2,2025-03-07,2025-03-08,1741374000.0,1741488600.0,1,12000,13,1,True
C5,65803,BUR,1,2025-03-08,2025-03-08,1741447800.0,1741468800.0,0,21000,7,3,True
C6,65804,OAK,1,2025-03-19,2025-03-19,1742414400.0,1742439300.0,0,24900,13,3,True
C7,65805,DAL,1,2025-03-21,2025-03-21,1742560500.0,1742580000.0,0,19500,7,3,True
C8,65806,DAL,1,2025-03-23,2025-03-23,1742736900.0,1742756400.0,0,19500,8,3,True
400SCF01,66589,SCF,1,2025-03-01,2025-03-01,1740839400.0,1740871800.0,0,32400,7,4,False
202DAL01,66590,DAL,2,2025-03-01,2025-03-02,1740845400.0,1740975600.0,1,36900,10,4,False
760BUR01,66591,BUR,1,2025-03-01,2025-03-01,1740860400.0,1740894300.0,0,33900,12,4,False
114BUR01,66592,BUR,1,2025-03-01,2025-03-01,1740852000.0,1740883200.0,0,31200,10,4,False
106BUR01,66593,BUR,2,2025-03-01,2025-03-02,1740854700.0,1740974100.0,1,36900,10,2,False
476SCF01,66594,SCF,1,2025-03-01,2025-03-01,1740858300.0,1740885900.0,0,27600,12,4,False
171OAK01,66595,OAK,1,2025-03-01,2025-03-01,1740842100.0,1740858600.0,0,16500,7,2,False
104BUR01,66596,BUR,1,2025-03-01,2025-03-01,1740849300.0,1740879000.0,0,29700,9,4,False
470SCF01,66597,SCF,1,2025-03-01,2025-03-01,1740840600.0,1740878700.0,0,38100,7,4,False
175OAK01,66598,OAK,1,2025-03-01,2025-03-01,1740855600.0,1740885600.0,0,30000,11,4,False
490SCF01,66599,SCF,1,2025-03-01,2025-03-01,1740851100.0,1740869400.0,0,18300,10,2,False
308LAS01,66600,LAS,1,2025-03-01,2025-03-01,1740856800.0,1740884400.0,0,27600,11,4,False
654LAS01,66601,LAS,1,2025-03-01,2025-03-01,1740846000.0,1740877200.0,0,31200,8,4,False
300LAS01,66602,LAS,1,2025-03-01,2025-03-01,1740841200.0,1740876000.0,0,34800,7,4,False
302LAS01,66603,LAS,1,2025-03-01,2025-03-01,1740852900.0,1740882600.0,0,29700,10,4,False
280DAL01,66604,DAL,2,2025-03-01,2025-03-02,1740834900.0,1740966600.0,1,32100,7,3,False
722SNA01,66605,SNA,1,2025-03-01,2025-03-01,1740855000.0,1740887100.0,0,32100,10,4,False
1098DAL01,66606,DAL,1,2025-03-01,2025-03-01,1740842100.0,1740872100.0,0,30000,9,2,False
470SCF02,66607,SCF,1,2025-03-02,2025-03-02,1740927000.0,1740965100.0,0,38100,7,4,False
108BUR02,66608,BUR,1,2025-03-02,2025-03-02,1740952500.0,1740980700.0,0,28200,13,4,False
460OAK02,66609,OAK,1,2025-03-02,2025-03-02,1740932400.0,1740967800.0,0,35400,8,4,False
109LAS02,66610,LAS,1,2025-03-02,2025-03-02,1740955200.0,1740982500.0,0,27300,14,4,False
490SCF02,66611,SCF,1,2025-03-02,2025-03-02,1740937500.0,1740970500.0,0,33000,10,4,False
119LAS02,66612,LAS,1,2025-03-02,2025-03-02,1740937500.0,1740966000.0,0,28500,9,4,False
120BUR02,66613,BUR,1,2025-03-02,2025-03-02,1740949800.0,1740980100.0,0,30300,13,4,False
760BUR02,66614,BUR,1,2025-03-02,2025-03-02,1740946800.0,1740967500.0,0,20700,12,2,False
476SCF02,66615,SCF,1,2025-03-02,2025-03-02,1740930300.0,1740958800.0,0,28500,8,4,False
128LAS02,66616,LAS,1,2025-03-02,2025-03-02,1740952200.0,1740979800.0,0,27600,13,4,False
620LAS02,66617,LAS,1,2025-03-02,2025-03-02,1740933900.0,1740969600.0,0,35700,8,4,False
100BUR02,66618,BUR,1,2025-03-02,2025-03-02,1740924000.0,1740951300.0,0,27300,6,4,False
900DAL02,66619,DAL,1,2025-03-02,2025-03-02,1740930600.0,1740970200.0,0,39600,9,4,False
280DAL02,66620,DAL,2,2025-03-02,2025-03-03,1740921300.0,1741062000.0,1,31500,7,3,False
286DAL02,66621,DAL,1,2025-03-02,2025-03-02,1740957300.0,1740972600.0,0,15300,17,2,False
904BUR02,66622,BUR,1,2025-03-02,2025-03-02,1740933900.0,1740969600.0,0,35700,8,4,False
300LAS02,66623,LAS,1,2025-03-02,2025-03-02,1740927600.0,1740958200.0,0,30600,7,4,False
171OAK02,66624,OAK,1,2025-03-02,2025-03-02,1740927600.0,1740945000.0,0,17400,7,2,False
408SCF02,66625,SCF,1,2025-03-02,2025-03-02,1740963000.0,1740978600.0,0,15600,17,2,False
175OAK02,66626,OAK,1,2025-03-02,2025-03-02,1740941100.0,1740970500.0,0,29400,10,4,False
370LAS02,66627,LAS,1,2025-03-02,2025-03-02,1740935700.0,1740964800.0,0,29100,9,4,False
404SCF02,66628,SCF,1,2025-03-02,2025-03-02,1740933600.0,1740952200.0,0,18600,9,2,False
775BUR02,66629,BUR,1,2025-03-02,2025-03-02,1740932100.0,1740962400.0,0,30300,8,4,False
402SCF02,66630,SCF,1,2025-03-02,2025-03-02,1740957300.0,1740975300.0,0,18000,16,2,False
400SCF02,66631,SCF,1,2025-03-02,2025-03-02,1740925800.0,1740957900.0,0,32100,7,4,False
